mp_id,formula,heat_capacity
mp-3635,LiBO2,237.77650155066075
mp-773906,KNaZrSi3H4O11,1297.879776650476
mp-4753,Al2SiO5,507.5938386620611
mp-558244,As(IF3)2,364.7090261814104
mp-989616,CaWN3,185.57431425304307
mp-771121,La2HfO5,648.93656206616
mp-18177,Ba3NbAs3O,747.893888253615
mp-27428,KBrO4,468.0292990645439
mp-555863,P4PtF12,309.33138555648515
mp-27342,Ge5F12,709.8253852355015
mp-28237,RbLiBr2,190.6970269559284
mp-39681,NaTi2BiO6,201.8069005083079
mp-29594,La5B4N9,1216.6126713360156
mp-634676,KHS,124.11627297264292
mp-989193,SnBrF,128.0405062525961
mp-18168,TlZnPO4,509.2622410159274
mp-560550,BaBi2(B2O5)2,1081.3402079711022
mp-3080,Ca5(Ga3O7)2,990.3376345389022
mp-28253,LiBiO2,321.98542577934285
mp-241,CdF2,68.13058601257379
mp-756578,LaMgI5,342.0747752184984
mp-4782,CaSnF6,170.93057915816337
mp-567629,CsPbBr3,494.7542572782358
mp-555797,Zn4As2O9,2322.410483574349
mp-556528,In4GeS4,1678.8189849548166
mp-975666,PrBrO,133.8323194529247
mp-29835,K2SnTe3,587.4157409913817
mp-753472,NbAlO4,432.561484849072
mp-23443,MnTlI3,483.8793890225681
mp-775944,Ba2Ti6N2O11,407.0443014617374
mp-23138,SbPbClO2,222.0788989927024
mp-8870,LiMgAsO4,522.6610721961288
mp-772850,La2Hf2O7,881.4134315243489
mp-560420,K3Bi2(PO4)3,704.390400857997
mp-1266,Na2Se,72.04606511385118
mp-12532,KAg2PS4,181.0346871799248
mp-752579,Tm2TiO5,626.3047933644339
mp-541040,Y2Be2GeO7,419.7939846211998
mp-1243,Ga2O3,191.68994115138537
mp-556463,KGe2BO6,689.5834530125499
mp-3756,SmTaO4,233.53659531099183
mp-567873,RbSmGeSe4,672.9370732301079
mp-27352,Sr(Ag3O2)2,991.4059243445392
mp-504539,CaLu2O4,584.1496236467374
mp-21228,SrCuSeF,189.88086990744367
mp-3257,KAuSe5,675.4993015506815
mp-677103,RbHF2,141.95703954867946
mp-14423,Ca(GaS2)2,1269.4861810859816
mp-9778,K2AgP,192.36971458675697
mp-560950,K2NaTlO3,633.4186511188246
mp-5014,CuAgS,282.2589532733492
mp-29200,KNO2,307.9807873140179
mp-558707,K2UAs2O9,1094.720745765782
mp-8248,Rb2TeO3,247.3789613781509
mp-3857,Ba3(PO4)2,238.23965449595684
mp-753160,BiOF,266.00898024677
mp-7293,HgPSe3,461.30215266776673
mp-28980,K3BiSe3,683.9627250378414
mp-467,Th3N4,147.12539370427106
mp-8042,ZrGeO4,221.0708530318328
mp-556884,CaSi2(NO)2,1348.2591410605592
mp-28837,K3RhCl6,949.1415864590384
mp-780396,SrCa2I6,882.6728087939528
mp-8111,LaOF,131.87789420290108
mp-8181,Li2CeN2,100.32042216526531
mp-6507,Na2Zn2Si2O7,476.6450055938864
mp-570258,Ca3(AlN2)2,344.05332584390766
mp-1047,Ca3N2,217.17694591841905
mp-984055,Ca7(H6Cl)2,297.4593068154211
mp-974267,KH8N3,297.97145297654066
mp-554004,ZnS,1283.69254260064
mp-680087,ZnS,2016.54875151592
mp-569675,Tl2Hg2PdCl8,310.2942146488176
mp-37906,LiMgN,55.09272679474337
mp-541001,LiInI4,575.3696772222562
mp-14964,Pr3TaO7,433.5247474284166
mp-772869,Ta7InO19,993.3718248084184
mp-23887,MgH12SO9,277.345278018256
mp-754157,AlInO3,185.64976881693684
mp-755184,Sm2Se2O,463.2410150813215
mp-556888,KSbF6,328.49534435967
mp-561547,SrSiO3,698.2665973713614
mp-8280,Ba(MgAs)2,117.99286290010532
mp-3934,Cu3PS4,356.3788414296118
mp-559227,RbGeBiS4,648.6646778628666
mp-558480,K2P2O5F2,368.9561291571731
mp-6126,LiCdBO3,307.2665424652069
mp-28903,Zr6FeCl14,975.148558038906
mp-8333,RbNaSnF6,1575.3621774330627
mp-556826,Ca(BO2)2,1214.0851945446743
mp-28275,Rb2PrCl5,773.9711944323409
mp-28439,KSc2F7,215.16991613555996
